DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
181523666,12/31/2018,12/31/2018,1450,15,N Hollywood,1567,997,TRAFFIC COLLISION,3011 3037 3025 3101 3401 3701 4026 3029 3039,30,M,W,101,STREET,VALLEY SPRING                LN,CAHUENGA                     BL,"(34.1468, -118.3615)"
181523671,12/31/2018,12/31/2018,1935,15,N Hollywood,1502,997,TRAFFIC COLLISION,3004 3037 3029 3026 3101 3401 3701 4026,61,F,H,101,STREET,WHITSETT                     AV,SATICOY                      ST,"(34.205, -118.4061)"
181523652,12/31/2018,12/31/2018,0820,15,N Hollywood,1501,997,TRAFFIC COLLISION,3006 3037 3026 3101 3401 3701 4026,25,M,H,101,STREET,SATICOY,ETHEL,"(34.2074, -118.4182)"
181426849,12/31/2018,12/31/2018,0615,14,Pacific,1415,997,TRAFFIC COLLISION,2004 3003 3026 3035 3037 3101 3401 3701 4027,43,M,W,101,STREET,LINCOLN                      BL,COMMONWEALTH                 AV,"(34.0023, -118.4697)"
181426850,12/31/2018,12/31/2018,1330,14,Pacific,1408,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4014,81,F,H,101,STREET,CULVER                       BL,VENICE                       BL,"(34.0291, -118.3947)"
181426856,12/31/2018,12/31/2018,1403,14,Pacific,1454,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4014,58,M,H,101,STREET,MARINA                       WY,MINDANAO                     WY,"(33.9838, -118.4378)"
181426853,12/31/2018,12/31/2018,1000,14,Pacific,1407,997,TRAFFIC COLLISION,3004 3026 3035 3036 3101 3401 3701 4027,74,M,H,101,STREET,NATIONAL                     BL,PALMS,"(34.0291, -118.4037)"
181426851,12/31/2018,12/31/2018,1130,14,Pacific,1483,997,TRAFFIC COLLISION,3011 3028 3034 3037 3101 3401 3701 4027,,,,101,STREET,STANMOOR                     DR,W  MANCHESTER                   AV,"(33.9598, -118.425)"
181325250,12/31/2018,12/31/2018,1800,13,Newton,1367,997,TRAFFIC COLLISION,3101 3401 3701 3004 3025 3029 1300,24,F,H,101,STREET,COMPTON                      AV,48TH                         ST,"(34.0002, -118.2478)"
181325235,12/31/2018,12/31/2018,1355,13,Newton,1322,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030 3036,40,M,H,101,STREET,24TH                         ST,MAPLE                        ST,"(34.0242, -118.2623)"
181325241,12/31/2018,12/31/2018,1620,13,Newton,1333,997,TRAFFIC COLLISION,3101 3401 3701 3004 3030 3032 1300,25,M,H,101,STREET,700 E  JEFFERSON                    BL,,"(34.0174, -118.2621)"
181325234,12/31/2018,12/31/2018,1355,13,Newton,1344,997,TRAFFIC COLLISION,3101 3401 3701 3004 3026 3602,41,F,H,101,STREET,AVALON,42ND                         ST,"(34.0076, -118.2653)"
181230266,12/31/2018,12/31/2018,1310,12,77th Street,1253,997,TRAFFIC COLLISION,4025 3037 3004 3028 3030 3101,,M,H,101,STREET,FLORENCE                     AV,CIMARRON                     ST,"(33.9746, -118.3159)"
181230235,12/31/2018,12/31/2018,0630,12,77th Street,1266,997,TRAFFIC COLLISION,4025 3037 3002 3028 3101,31,F,B,103,ALLEY,80TH                         ST,HOOVER                       ST,"(33.9667, -118.2871)"
181230262,12/31/2018,12/31/2018,0615,12,77th Street,1218,997,TRAFFIC COLLISION,4025 3036 3004 3026 3029 3101,58,F,H,101,STREET,57TH                         ST,HOOVER                       ST,"(33.9905, -118.2871)"
181230260,12/31/2018,12/31/2018,1125,12,77th Street,1231,997,TRAFFIC COLLISION,4025 3028 3030 3037 3006 3101,69,M,B,101,STREET,64TH                         ST,BUCKLER                      AV,"(33.9817, -118.35)"
181230226,01/02/2019,12/31/2018,2235,12,77th Street,1259,997,TRAFFIC COLLISION,4025 3036 3004 3026 3101,35,F,H,101,STREET,AVALON                       BL,87TH                         ST,"(33.9711, -118.2629)"
181121500,12/31/2018,12/31/2018,0100,11,Northeast,1119,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030,31,F,X,101,STREET,5000    MOUNT HELENA                 AV,,"(34.1389, -118.1954)"
181121475,12/31/2018,12/31/2018,0925,11,Northeast,1124,997,TRAFFIC COLLISION,3101 3401 3701 3004 3030 3036,,M,H,101,STREET,AVENUE 32,DREW                         ST,"(34.1186, -118.245)"
181020586,12/31/2018,12/31/2018,2035,10,West Valley,1008,997,TRAFFIC COLLISION,4026 3038 3004 3037 3101 3401 3701 3026,48,F,H,101,STREET,SATICOY                      ST,BALBOA                       BL,"(34.2084, -118.5011)"
181020582,12/31/2018,12/31/2018,1330,10,West Valley,1044,997,TRAFFIC COLLISION,3004 3036 3026 3101 3401 3701 4010,73,M,W,101,STREET,RESEDA                       BL,CLARK                        ST,"(34.1765, -118.5333)"
181020583,12/31/2018,12/31/2018,1350,10,West Valley,1061,997,TRAFFIC COLLISION,3004 3037 3034 3028 3102 3401 3701 4026,63,F,W,101,STREET,VENTURA                      BL,SHIRLEY                      AV,"(34.1728, -118.5578)"
181020560,12/31/2018,12/31/2018,0623,10,West Valley,1006,997,TRAFFIC COLLISION,3004 3036 3025 3101 3401 3701 4026,65,F,H,101,STREET,STAGG,LOUISE,"(34.2121, -118.5099)"
181020584,12/31/2018,12/31/2018,1855,10,West Valley,1045,997,TRAFFIC COLLISION,3004 3037 3026 3101 3401 3701 4026,33,F,O,101,STREET,BURBANK                      BL,ZELZAH                       AV,"(34.1722, -118.522)"
181020585,12/31/2018,12/31/2018,1305,10,West Valley,1023,997,TRAFFIC COLLISION,3004 3037 3029 3026 3101 3701 4026,29,F,H,101,STREET,SHERMAN                      WY,VANALDEN                     AV,"(34.201, -118.5492)"
